2021-12-13 08:12:897 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-13 08:12:750 INFO  StartPage :29 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 08:12:863 INFO  SelectNationalityPage :29 - Clicking on reason for visit: Australia[[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //select[@id='response']]
2021-12-13 08:12:167 INFO  SelectNationalityPage :34 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 08:12:246 INFO  ReasonForTravelPage :31 - Clicking on reason for visit: Tourism[[[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 08:12:650 INFO  ReasonForTravelPage :39 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (406e456a9c802f557ee9f71b7aff5de4)] -> xpath: //button[text()='Continue']]
2021-12-13 08:12:717 INFO  ResultPage :35 - Clicking on reason for visit: You will not need a visa to come to the UKYou will not need a visa to come to the UK
2021-12-13 08:12:707 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-13 08:12:479 INFO  StartPage :29 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (cc33e5ce1f12dc66c80f7c95f6075da0)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 08:12:55 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-13 08:12:941 INFO  StartPage :29 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 08:12:48 INFO  SelectNationalityPage :29 - Clicking on reason for visit: Australia[[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //select[@id='response']]
2021-12-13 08:12:265 INFO  SelectNationalityPage :34 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 08:12:352 INFO  ReasonForTravelPage :31 - Clicking on reason for visit: Tourism[[[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 08:12:599 INFO  ReasonForTravelPage :39 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (db33e05d0688fe6001127f77c3f8beb9)] -> xpath: //button[text()='Continue']]
2021-12-13 08:12:667 INFO  ResultPage :35 - Clicking on reason for visit: You will not need a visa to come to the UKYou will not need a visa to come to the UK
2021-12-13 15:12:554 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-13 15:12:10 INFO  StartPage :29 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (ec3c753ba530a374325e6fd087e347b9)] -> xpath: //a[normalize-space()='Start now']]
